"title","address","info","totalPrice","totalSellCount","unitPrice"
"望陶园小区","东城
       永定门 
              /塔楼/板楼
                  / 1999年建成","30天成交0套
      |4套正在出租","69692元/m2","6套",""
"宇飞大厦","东城
       东直门 
              /塔楼
                  / 2009年建成","30天成交0套
      |0套正在出租","69819元/m2","0套",""
"西革新里110号院","东城
       永定门 
              /板楼
                  / 1990年建成","共71个户型
        |
            30天成交0套
      |4套正在出租","69960元/m2","1套",""
"桃杨路北里12号院","东城
       永定门 
              /板楼
                  / 1999年建成","30天成交0套
      |0套正在出租","70366元/m2","0套",""
"聚龙花园","东城
       工体 
              /塔楼/板楼/塔板结合
                  / 1993年建成","30天成交0套
      |9套正在出租","70875元/m2","16套",""
"天天家园","东城
       永定门 
              /塔楼/板楼
                  / 2001年建成","共153个户型
        |
            30天成交0套
      |7套正在出租","70965元/m2","15套",""
"革新里小区","东城
       永定门 
              /板楼
                  / 1987年建成","30天成交0套
      |1套正在出租","70977元/m2","1套",""
"车站路6号院","东城
       陶然亭 
              /板楼/平房
                  / 1980年建成","30天成交0套
      |2套正在出租","71693元/m2","6套",""
"桃园东里17号院","东城
       永定门 
              /板楼
                  / 1980年建成","30天成交0套
      |0套正在出租","72035元/m2","0套",""
"三元街11号","东城
       永定门 
              /板楼
                  / 1979年建成","30天成交0套
      |0套正在出租","72149元/m2","0套",""
"华普花园","东城
       东直门 
              /塔楼
                  / 2001年建成","30天成交0套
      |3套正在出租","72266元/m2","8套",""
"富莱茵花园","东城
       永定门 
              /塔楼/板楼
                  / 1990年建成","30天成交2套
      |5套正在出租","72281元/m2","11套",""
"悠胜美苑","东城
       永定门 
              /塔楼/板楼/塔板结合
                  / 2001年建成","30天成交1套
      |2套正在出租","72328元/m2","6套",""
"景泰嘉园","东城
       永定门 
              /塔板结合
                  / 2002年建成","共25个户型
        |
            30天成交1套
      |2套正在出租","72791元/m2","2套",""
"安乐林头条2号院","东城
       永定门 
              /板楼
                  / 1989年建成","30天成交0套
      |0套正在出租","73029元/m2","0套",""
"东革新里40号院","东城
       永定门 
              /板楼
                  / 1979年建成","30天成交1套
      |2套正在出租","73154元/m2","1套",""
"永铁苑","东城
       陶然亭 
              /塔楼
                  / 2000年建成","30天成交1套
      |2套正在出租","73378元/m2","4套",""
"冠城名敦道A区","东城
       广渠门 
              /塔楼
                  / 2009年建成","30天成交1套
      |13套正在出租","73475元/m2","13套",""
"定安里","东城
       永定门 
              /板楼/平房
                  / 1959年建成","30天成交0套
      |3套正在出租","73720元/m2","14套",""
"三元街甲19号院","东城
       永定门 
              /板楼
                  / 1970年建成","30天成交1套
      |0套正在出租","73978元/m2","0套",""
"永定门外大街38号院","东城
       永定门 
              /板楼
                  / 1984年建成","30天成交0套
      |0套正在出租","74000元/m2","0套",""
"安圣苑","东城
       安贞 
              /塔楼/板楼
                  / 1986年建成","30天成交0套
      |3套正在出租","74160元/m2","1套",""
"西革新里124号","东城
       永定门 
              /板楼
                  / 1981年建成","共32个户型
        |
            30天成交0套
      |1套正在出租","74197元/m2","2套",""
"杨家园西里","东城
       永定门 
              /板楼
                  / 1980年建成","30天成交0套
      |1套正在出租","74230元/m2","0套",""
